DAY|CODE|LECTURE|START|FINISH|PLACE
SAT|MATH 303|Numerical Analysis|08:00|10:00|Hall B
SAT|MATH 305|Differential Geometry|10:00|12:00|Class 325B or Hall B
SAT|COMP 309|Multimedia Systems|13:00|14:00|LAB
SUN|COMP 305|Complexity Theory|14:00|16:00|HELAL
SUN|COMP 309|Multimedia Systems|16:00|18:00|HELAL
TUE|-|Section - Abstract Algebra|09:00|10:00|Hall 2
TUE|COMP 307|Operating Systems|11:00|14:00|Hall 104
TUE|SCTH 301|Scientific Thinking|15:00|16:00|Hammad
THU|COMP 313|Software Packages|08:00|11:00|LAB
THU|MATH 303|Numerical Analysis|11:00|12:00|Class 228A
THU|-|Section - Numerical Analysis|13:00|14:00|LAB
THU|MATH 301|Abstract Algebra|14:00|17:00|Hall 2
